  name:: 				Stone Gargoyle
  level:: 				playerLevel
  health::				6 + playerLevel * genRandomNum(1, 3)
  mana:: 				0
  experience yield:: 			default
  strength:: 				13 + playerLevel / 1.2 + genRandomNum(1, getLevel * 2)
  dexterity:: 				5 + playerLevel / 2 + genRandomNum(2, getLevel / 5)
  intellect:: 				1 + playerLevel / 2 + genRandomNum(2, getLevel / 5)
  armour:: 				5 + getLevel / 1.1 + genRandomNum(getLevel / 1.1, getLevel * 3)
  gold drop:: 				51 + genRandomNum(getLevel * 2, getLevel * 5)
  numAttacksPerTurn:: 			1
  specialAttackChance:: 		45
  quickAttackMessage::			foeName strikes you with a quick jab for damageOut damage!
  normalAttackMessage::			foeName attacks you for damageOut damage!
  strongAttackMessage::			foeName launches a mighty swing at you for damageOut damage!
  crit_quickAttackMessage::		foeName lands a vicious stab for damageOut damage!
  crit_normalAttackMessage::		foeName critically strikes you for damageOut damage!
  crit_strongAttackMessage::		foeName lands a devastating blow for damageOut damage!
  specialAttackType:: 			ArmourBooster
  specialAttackMessage:: 		foeName reassembles its plates, increasing armour from normalArmour to increasedArmour for the next round!
  armourBoostVal:: 			150
